tee_id,course_id,facility_id,course_name,tee_name,tee_color,course_par_for_tee,rating,slope,hole1,hole2,hole3,hole4,hole5,hole6,hole7,hole8,hole9,hole10,hole11,hole12,hole13,hole14,hole15,hole16,hole17,hole18,total_distance,hole1_par,hole2_par,hole3_par,hole4_par,hole5_par,hole6_par,hole7_par,hole8_par,hole9_par,hole10_par,hole11_par,hole12_par,hole13_par,hole14_par,hole15_par,hole16_par,hole17_par,hole18_par,hole1_handicap,hole2_handicap,hole3_handicap,hole4_handicap,hole5_handicap,hole6_handicap,hole7_handicap,hole8_handicap,hole9_handicap,hole10_handicap,hole11_handicap,hole12_handicap,hole13_handicap,hole14_handicap,hole15_handicap,hole16_handicap,hole17_handicap,hole18_handicap
GBR-BDF-0017-01-04,GBR-BDF-0017-01,John O'Gaunt Golf Club,John O'Gaunt,Yellow (L),Yellow,75,77.1,139,276,388,360,164,429,454,322,372,492,180,351,328,442,341,420,146,471,395,6331,4,4,4,3,5,5,4,4,5,3,4,4,5,4,5,3,5,4,17,5,9,15,3,1,7,13,11,8,12,16,2,10,4,18,14,6
GBR-BDF-0017-01-05,GBR-BDF-0017-01,John O'Gaunt Golf Club,John O'Gaunt,Red,Red,71,68.4,123,270,326,268,144,420,438,309,340,444,154,301,318,430,321,399,135,409,341,5767,4,4,4,3,4,4,4,4,5,3,4,4,4,4,4,3,5,4,16,4,18,14,10,8,2,12,6,7,15,13,5,9,1,17,11,3
GBR-BDF-0017-01-06,GBR-BDF-0017-01,John O'Gaunt Golf Club,John O'Gaunt,Red (L),Red,74,74,129,270,326,268,144,420,438,309,340,444,154,301,318,430,321,399,135,409,341,5767,4,4,4,3,5,5,4,4,5,3,4,4,5,4,4,3,5,4,16,4,18,14,10,8,2,12,6,7,15,13,5,9,1,17,11,3
GBR-BDF-0017-02-01,GBR-BDF-0017-02,John O'Gaunt Golf Club,Carthagena,White,White,69,68.8,125,393,164,313,289,430,153,457,155,373,477,179,369,215,301,363,386,336,480,5833,4,3,4,4,4,3,4,3,4,5,3,4,3,4,4,4,4,5,5,10,16,13,3,17,1,18,7,15,6,12,4,14,8,2,9,11
GBR-BDF-0017-02-02,GBR-BDF-0017-02,John O'Gaunt Golf Club,Carthagena,Yellow,Yellow,69,67.9,122,381,153,301,278,419,141,448,142,362,464,166,359,205,293,353,375,325,470,5635,4,3,4,4,4,3,4,3,4,5,3,4,3,4,4,4,4,5,5,10,16,13,3,17,1,18,7,15,6,12,4,14,8,2,9,11
GBR-BDF-0017-02-03,GBR-BDF-0017-02,John O'Gaunt Golf Club,Carthagena,Red (L),Red,70,71.1,128,362,134,279,257,398,115,424,125,353,454,155,319,195,281,338,364,285,459,5297,4,3,4,4,4,3,5,3,4,5,3,4,3,4,4,4,4,5,4,16,12,10,2,18,8,14,6,3,9,15,11,17,7,1,13,5
GBR-SYK-0001-01-01,GBR-SYK-0001-01,Bawtry Golf Club,Bawtry,White,White,73,74,121,412,131,441,545,431,362,368,134,526,518,176,376,173,423,494,348,183,420,6461,4,4,4,4,4,4,5,3,4,5,3,5,5,4,3,4,4,4,5,18,3,9,1,11,7,17,13,10,16,4,14,2,8,12,15,6
GBR-SYK-0001-01-02,GBR-SYK-0001-01,Bawtry Golf Club,Bawtry,Yellow,Yellow,72,72.1,119,403,126,432,499,421,355,345,126,514,512,167,363,165,414,488,338,172,411,6251,4,4,4,4,4,4,5,3,4,4,3,5,5,4,3,4,4,4,5,18,3,9,1,11,7,17,13,10,16,4,14,2,8,12,15,6
GBR-SYK-0001-01-03,GBR-SYK-0001-01,Bawtry Golf Club,Bawtry,Red (L),Red,73,72.5,126,364,120,417,477,398,329,286,123,473,469,143,337,127,386,456,304,146,344,5699,4,4,4,4,4,4,5,3,4,5,3,5,5,4,3,4,4,4,5,18,3,9,1,11,7,17,13,10,16,4,14,2,8,12,15,6
GBR-TOF-0001-01-01,GBR-TOF-0001-01,Greenmeadow Golf and Country Club,Green Meadows,White,White,70,70.1,129,135,533,411,337,221,542,135,331,389,414,150,523,229,309,384,322,344,403,6112,3,5,4,4,3,5,3,4,4,4,3,5,3,4,4,4,4,4,18,8,2,15,10,4,17,13,6,5,14,3,9,16,1,11,12,7
GBR-TOF-0001-01-02,GBR-TOF-0001-01,Greenmeadow Golf and Country Club,Green Meadows,Yellow,Yellow,69,67.5,119,135,497,393,287,198,437,135,292,359,382,134,436,208,292,359,272,299,386,5501,3,5,4,4,3,4,3,4,4,4,3,5,3,4,4,4,4,4,18,8,2,15,10,4,17,13,6,5,14,3,9,16,1,11,12,7
GBR-TOF-0001-01-03,GBR-TOF-0001-01,Greenmeadow Golf and Country Club,Green Meadows,Yellow (L),Yellow,71,71.6,133,135,497,393,287,198,437,135,292,359,382,134,436,208,292,359,272,299,386,5501,3,5,4,4,3,5,3,4,4,4,3,5,3,4,4,4,4,5,18,8,2,16,12,6,14,10,4,3,17,1,9,11,5,7,15,13
GBR-TOF-0001-01-04,GBR-TOF-0001-01,Greenmeadow Golf and Country Club,Green Meadows,Red,Red,71,65.8,114,135,406,373,265,168,433,125,264,336,363,124,428,187,276,304,248,280,370,5085,3,5,4,4,3,5,3,4,4,4,3,5,3,4,4,4,4,5,18,8,2,16,12,6,14,10,4,3,17,1,9,11,5,7,15,13
